,orgin,new
0,drawer_1,drawer
1,base_1,base
2,leg_1,leg
3,shower_head,shower_head
4,flange,flange
5,pipe,pipe
6,bracket,bracket
7,nozzle,nozzle
8,step,step
9,front_side_rail,front_side_rail
10,back,back
11,seat,seat
12,backrest,backrest
13,cushion,cushion
14,leg,leg
15,armrest,armrest
16,base,base
17,containing_things,containing_things
18,head,head
19,container,container
20,handle,handle
21,mouth,mouth
22,body,body
23,frame,frame
24,bottom,bottom
25,surface,surface
26,support,support
27,bulb,bulb
28,lamp_surrounding_frame,lamp_surrounding_frame
29,socket,socket
30,bottom_panel,bottom_panel
31,back_panel,back_panel
32,top_panel,top_panel
33,drawer,drawer
34,side_panel,side_panel
35,wheel,wheel
36,foot,foot
37,top_1,top
38,support_1,support
39,pillow,pillow
40,mattress,mattress
41,design,design
42,seat_1,seat
43,footrest_1,footrest
44,cushion_1,cushion
45,backrest_1,backrest
46,armrest_1,armrest
47,bush_1,bush
48,bush,bush
49,vertical_side_panel,vertical_side_panel
50,stand,stand
51,hanger,hanger
52,bowl,bowl
53,water_tank,water_tank
54,tank_cover,tank_cover
55,seat_cover,seat_cover
56,flush_push_button,flush_push_button
57,top,top
58,candle,candle
59,stem,stem
60,shoulder,shoulder
61,rod,rod
62,wall_mount,wall_mount
63,perch,perch
64,eyehook,eyehook
65,back_1,back
66,pole,pole
67,headboard,headboard
68,duvet,duvet
69,bedskirt,bedskirt
70,spout,spout
71,aerator,aerator
72,wire,wire
73,arm,arm
74,shade_cloth,shade_cloth
75,door,door
76,truck,truck
77,grip_tape,grip_tape
78,deck,deck
79,wheels,wheel
80,base_0,base
81,bush_0,bush
82,seat_cushion,seat_cushion
83,shelf,shelf
84,glass,glass
85,hinge,hinge
86,leg_stretcher,leg_stretcher
87,side_walls,side_walls
88,roof,roof
89,light,light
90,canopy,canopy
91,blade_bracket,blade_bracket
92,blade,blade
93,motor_box,motor_box
94,downrod,downrod
95,hardware,hardware
96,tabletop_frame,tabletop_frame
97,leveller_1,leveller
98,rod_bracket,rod_bracket
99,knob,knob
100,fabric_design,fabric_design
101,strut,strut
102,propeller_blade,propeller_blade
103,windshield,windshield
104,fin,fin
105,wing,wing
106,windows,windows
107,top_cap,top_cap
108,hook,hook
109,vertical_divider_panel,vertical_divider_panel
110,footrest,footrest
111,bulb_1,bulb
112,body_1,body
113,spout_1,spout
114,aerator_1,aerator
115,handle_1,handle
116,top_panel_1,top_panel
117,vertical_side_panel_1,vertical_side_panel
118,door_1,door
119,back_panel_1,back_panel
120,bottom_panel_1,bottom_panel
121,water,water
122,sink,sink
123,drain,drain
124,faucet,faucet
125,cabinet,cabinet
126,bracket_1,bracket
127,hose_1,hose
128,arm_1,arm
129,shower_head_1,shower_head
130,nozzle_1,nozzle
131,leveller,leveller
132,wiper,wiper
133,rear_window,rear_window
134,rear_view_mirror,rear_view_mirror
135,trunk,trunk
136,hood,hood
137,headlight,headlight
138,grill,grill
139,side_windows,side_windows
140,doors,door
141,taillight,taillight
142,mirror,mirror
143,hour_hand,hour_hand
144,number,number
145,dial,dial
146,minute_hand,minute_hand
147,slab_0,slab
148,slab_1,slab
149,bench,bench
150,floor,floor
151,pillars,pillars
152,long_ribs,long_ribs
153,shaft,shaft
154,finial,finial
155,play_field,play_field
156,corner_pockets,corner_pockets
157,side_pockets,side_pockets
158,net,net
159,back_stretcher,back_stretcher
160,armrest_0,armrest
161,short_ribs,short_ribs
162,runner,runner
163,button,button
164,access_panel,access_panel
165,bow,bow
166,helm,helm
167,lights,light
168,hull,hull
169,unit,unit
170,harp,harp
171,paddle,paddle
172,shower_hose,shower_hose
173,bag_body,bag_body
174,stretcher,stretcher
175,lamp_surrounding_frame_1,lamp_surrounding_frame
176,rod_1,rod
177,pole_1,pole
178,stand_1,stand
179,socket_1,socket
180,socket_0,socket
181,pocket,pocket
182,design_1,design
183,lamp_surrounding_frame_0,lamp_surrounding_frame
184,cap,cap
185,footboard,footboard
186,tabletop_frame_0,tabletop_frame
187,tabletop_frame_1,tabletop_frame
188,foot_base,foot_base
189,screen,screen
190,fan,fan
191,propeller,propeller
192,shelf_1,shelf
193,beam,beam
194,slab,slab
195,border,border
196,front,front
197,ball_retrieving_pocket,ball_retrieving_pocket
198,front_side_rail_0,front_side_rail
199,front_side_rail_1,front_side_rail
200,front_side_rail_2,front_side_rail
201,step_0,step
202,step_1,step
203,step_2,step
204,step_3,step
205,rear_side_rail_0,rear_side_rail
206,rear_side_rail_1,rear_side_rail
207,rear_side_rail_2,rear_side_rail
208,rear_side_rail_3,rear_side_rail
209,foot_0,foot
210,foot_1,foot
211,foot_2,foot
212,spreader,spreader
213,pendulum,pendulum
214,back_horizontal_bar,back_horizontal_bar
215,number_plate,number_plate
216,pole_0,pole
217,arm_0,arm
218,flapper,flapper
219,lid,lid
220,rails,rails
221,second_hand,second_hand
222,starboard,starboard
223,support_0,support
224,leg_0,leg
225,back_horizontal_bar_1,back_horizontal_bar
226,seat_cushion_1,seat_cushion
227,canopy_0,canopy
228,canopy_1,canopy
229,cap_retainer,cap_retainer
230,axle,axle
231,rim,rim
232,brakes,brake
233,headset,headset
234,chain,chain
235,handlebars,handlebars
236,tyre,tyre
237,saddle,saddle
238,spokes,spokes
239,chain_stay,chain_stay
240,pedals,pedal
241,seat_stay,seat_stay
242,fork,fork
243,keyboard_tray,keyboard_tray
244,channel,channel
245,vertical_divider_panel_1,vertical_divider_panel
246,wax_pan,wax_pan
247,knob_1,knob
248,stand_0,stand
249,bulb_0,bulb
250,rod_0,rod
251,wire_0,wire
252,wire_1,wire
253,wire_2,wire
254,tie_wrap,tie_wrap
255,open_close_button,open_close_button
256,back_vertical_bar,back_vertical_bar
257,cooking,cooking
258,tank_cover_0,tank_cover
259,tank_cover_1,tank_cover
260,water_tank_0,water_tank
261,water_tank_1,water_tank
262,supports,support
263,legs_1,leg
264,adjuster,adjuster
265,throw_pillow,throw_pillow
266,zipper,zipper
267,locks,locks
268,back_0,back
269,pillow_1,pillow
270,bedsheet,bedsheet
271,stretcher_1,stretcher
272,control,control
273,engine_stretcher,enginestretcher
274,back_flap,back_flap
275,brake,brake
276,tube,tube
277,gear_levers,gear_levers
278,hose,hose
279,headrest,headrest
280,valve,valve
281,decoration,decoration
282,outer_surface,outer_surface
283,inner_surface,inner_surface
284,top_kzawk,top_cap
285,seat_0,seat
286,seat_2,seat
287,back_panel_lpbom,back_panel
288,vertical_side_panel_mzduo,vertical_side_panel
289,door_0,door
290,zipper_0,zipper
291,zipper_1,zipper
292,channel_1,channel
293,backrest_0,backrest
294,disposer,disposer
295,container_1,container
296,containing_things_1,containing_things
297,feeder,feeder
298,rope,rope
299,_tabletop_frame_1,tabletop_frame
300,adjuster_0,adjuster
301,adjuster_1,adjuster
302,archmodels59_footstool1 base_1,base
303,archmodels59_footstool1 leg_1,leg
304,archmodels59_footstool1 seat_1,seat
305,arm_2,arm
306,arm_3,arm
307,arm_4,arm
308,back_flap_0,back_flap
309,back_flap_1,back_flap
310,back_flap_2,back_flap
311,back_flap_3,back_flap
312,back_panel_0,back_panel
313,back_panel_85jvy,back_panel
314,back_panel_s5ghz,back_panel
315,back_support,back_support
316,back_vertical_bar_1,back_vertical_bar
317,bag_body_0,bag_body
318,bag_body_1,bag_body
319,base1,base
320,base1_1,base
321,base_1_0,base
322,base_1_1,base
323,base_2,base
324,bed_post,bed_post
325,bed_surrounding_rail,bed_surrounding_rail
326,blade_bracket_0,blade_bracket
327,blade_bracket_1,blade_bracket
328,body_0,body
329,body_10,body
330,body_11,body
331,body_12,body
332,body_13,body
333,body_14,body
334,body_15,body
335,body_16,body
336,body_17,body
337,body_18,body
338,body_19,body
339,body_2,body
340,body_20,body
341,body_21,body
342,body_22,body
343,body_23,body
344,body_24,body
345,body_25,body
346,body_26,body
347,body_27,body
348,body_28,body
349,body_29,body
350,body_3,body
351,body_30,body
352,body_31,body
353,body_32,body
354,body_33,body
355,body_34,body
356,body_35,body
357,body_36,body
358,body_37,body
359,body_38,body
360,body_39,body
361,body_4,body
362,body_40,body
363,body_41,body
364,body_42,body
365,body_43,body
366,body_44,body
367,body_45,body
368,body_46,body
369,body_47,body
370,body_48,body
371,body_49,body
372,body_5,body
373,body_50,body
374,body_51,body
375,body_52,body
376,body_53,body
377,body_54,body
378,body_55,body
379,body_56,body
380,body_57,body
381,body_58,body
382,body_59,body
383,body_6,body
384,body_60,body
385,body_61,body
386,body_62,body
387,body_63,body
388,body_64,body
389,body_65,body
390,body_7,body
391,body_8,body
392,body_9,body
393,bottom_0,bottom
394,bottom_1,bottom
395,bottom_2,bottom
396,bottom_panel_0,bottom_panel
397,bottom_panel_1_0,bottom_panel
398,bottom_panel_1_1,bottom_panel
399,bow_0,bow
400,bow_1,bow
401,bow_2,bow
402,bowl_0,bowl
403,bowl_1,bowl
404,brace,brace
405,brace_0,brace
406,brace_1,brace
407,brace_2,brace
408,bulb_2,bulb
409,cabinet_0,cabinet
410,cabinet_1,cabinet
411,case,case
412,caster,caster
413,cleat,cleat
414,containing_things_0,containing_things
415,containing_things_2,containing_things
416,containing_things_3,containing_things
417,containing_things_4,containing_things
418,containing_things_5,containing_things
419,cooking_0,cooking
420,cooking_1,cooking
421,cue_stick,cue_stick
422,cushion_0,cushion
423,deck_0,deck
424,deck_1,deck
425,deck_2,deck
426,deck_3,deck
427,design_0,design
428,dial_0,dial
429,dial_1,dial
430,dial_2,dial
431,dial_3,dial
432,door_1_0,door
433,door_1_1,door
434,door_2,door
435,door_3,door
436,doorr,door
437,doors_0,door
438,doors_1,door
439,doors_2,door
440,doors_3,door
441,doors_4,door
442,drawer_0,drawer
443,drawerr,drawer
444,enginestretcher_0,enginestretcher
445,enginestretcher_1,enginestretcher
446,enginestretcher_2,enginestretcher
447,fan_0,fan
448,fan_1,fan
449,fan_2,fan
450,fan_3,fan
451,fan_4,fan
452,fan_5,fan
453,fan_6,fan
454,fin_0,fin
455,fin_1,fin
456,fin_2,fin
457,fin_3,fin
458,finial_0,finial
459,finial_1,finial
460,flange_1,flange
461,flapper_support,flapper_support
462,floor_0,floor
463,floor_1,floor
464,floor_2,floor
465,flush_handle,flush_handle
466,footrest_0,footrest
467,frame_0,frame
468,frame_1,frame
469,front_flap,front_flap
470,glass_0,glass
471,glass_1,glass
472,grill_0,grill
473,grill_1,grill
474,handle_0,handle
475,handle_2,handle
476,handle_3,handle
477,handle_4,handle
478,handle_5,handle
479,handle_6,handle
480,harp_1,harp
481,head_1,head
482,head_support,head_support
483,headlight_0,headlight
484,headlight_1,headlight
485,headrest_1,headrest
486,helm_0,helm
487,helm_1,helm
488,hood_0,hood
489,hood_1,hood
490,hood_2,hood
491,hood_3,hood
492,hood_4,hood
493,hood_5,hood
494,hook_0,hook
495,hook_1,hook
496,hook_10,hook
497,hook_11,hook
498,hook_12,hook
499,hook_13,hook
500,hook_14,hook
501,hook_15,hook
502,hook_16,hook
503,hook_17,hook
504,hook_18,hook
505,hook_19,hook
506,hook_2,hook
507,hook_20,hook
508,hook_21,hook
509,hook_22,hook
510,hook_3,hook
511,hook_4,hook
512,hook_5,hook
513,hook_6,hook
514,hook_7,hook
515,hook_8,hook
516,hook_9,hook
517,hull_0,hull
518,hull_1,hull
519,hull_2,hull
520,hull_3,hull
521,igniter,igniter
522,keel,keel
523,leg_2,leg
524,leg_f5wkd,leg
525,leg_jzxyb,leg
526,leg_wjqwi,leg
527,leg_y5jlc,leg
528,legs,leg
529,level_0,level
530,level_1,level
531,lever,lever
532,lever_0,lever
533,lever_1,lever
534,lid_0,lid
535,lid_1,lid
536,light_0,light
537,light_1,light
538,light_2,light
539,lights_0,light
540,lights_1,light
541,lights_2,light
542,lights_3,light
543,lights_4,light
544,lights_5,light
545,lights_6,light
546,lug,lug
547,mast,mast
548,mattress_0,mattress
549,mattress_1,mattress
550,mechanism,mechanism
551,mirror_1,mirror
552,motor_box_0,motor_box
553,motor_box_1,motor_box
554,motor_box_2,motor_box
555,motor_box_3,motor_box
556,mouth_0,mouth
557,mouth_1,mouth
558,mouth_2,mouth
559,neck,neck
560,neck_1,neck
561,net_support,net_support
562,open_close_button_0,open_close_button
563,open_close_button_1,open_close_button
564,open_close_button_2,open_close_button
565,pedal,pedal
566,pendulum_0,pendulum
567,pendulum_1,pendulum
568,pendulum_2,pendulum
569,pendulum_3,pendulum
570,pillars_0,pillars
571,pillars_1,pillars
572,pipe_1,pipe
573,plug,plug
574,plug_0,plug
575,plug_1,plug
576,propeller_blade_0,propeller_blade
577,propeller_blade_1,propeller_blade
578,propeller_blade_2,propeller_blade
579,pulley,pulley
580,rails_0,rails
581,rails_1,rails
582,rear_side_rail,rear_side_rail
583,rear_view_mirror_0,rear_view_mirror
584,rear_view_mirror_1,rear_view_mirror
585,rear_view_mirror_2,rear_view_mirror
586,rear_view_mirror_3,rear_view_mirror
587,rear_window_0,rear_window
588,rear_window_1,rear_window
589,rocker,rocker
590,roof_0,roof
591,roof_1,roof
592,roof_2,roof
593,rudder,rudder
594,rudder_0,rudder
595,rudder_1,rudder
596,screw,screw
597,seat1_1,seat
598,seat_3,seat
599,seat_4,seat
600,seat_5,seat
601,seat_6,seat
602,seat_cushion_0,seat_cushion
603,shade_cloth_0,shade_cloth
604,shade_cloth_1,shade_cloth
605,shade_cloth_2,shade_cloth
606,shaft_0,shaft
607,shaft_1,shaft
608,shoulder_strap,shoulder_strap
609,shower_hose_1,shower_hose
610,side_windows_0,side_windows
611,side_windows_1,side_windows
612,side_windows_2,side_windows
613,slab_2,slab
614,socket_2,socket
615,sprayer,sprayer
616,spreader_0,spreader
617,spreader_1,spreader
618,stopper,stopper
619,strap,strap
620,strap_0,strap
621,strap_1,strap
622,strap_2,strap
623,strap_3,strap
624,strut_0,strut
625,strut_1,strut
626,strut_2,strut
627,strut_3,strut
628,strut_4,strut
629,strut_5,strut
630,support_2,support
631,support_3,support
632,supports_0,support
633,supports_1,support
634,switch_0,switch
635,switch_1,switch
636,table,table
637,taillight_0,taillight
638,taillight_1,taillight
639,taillight_10,taillight
640,taillight_2,taillight
641,taillight_3,taillight
642,taillight_4,taillight
643,taillight_5,taillight
644,taillight_6,taillight
645,taillight_7,taillight
646,taillight_8,taillight
647,taillight_9,taillight
648,top_0,top
649,top_bpvyw,top_cap
650,top_cap_0,top_cap
651,top_cap_1,top_cap
652,top_ozk90,top
653,top_panel_0,top_panel
654,top_tjb6b,top
655,trap,trap
656,tray_inner,tray_inner
657,trunk_0,trunk
658,trunk_1,trunk
659,trunk_2,trunk
660,trunk_3,trunk
661,trunk_4,trunk
662,vertical_side_panel2,vertical_side_panel
663,vertical_side_panel_0,vertical_side_panel
664,vertical_side_panel_9zle7,vertical_side_panel
665,vertical_side_panel_szfqb,vertical_side_panel
666,wheel_0,wheel
667,wheel_1,wheel
668,wheel_2,wheel
669,wheel_3,wheel
670,wheel_4,wheel
671,wheel_5,wheel
672,wheel_6,wheel
673,wheel__1,wheel
674,wheels_0,wheel
675,wheels_1,wheel
676,wheels_2,wheel
677,wheels_3,wheel
678,wheels_4,wheel
679,wheels_5,wheel
680,windshield_0,windshield
681,windshield_1,windshield
682,windshield_2,windshield
683,wing_0,wing
684,wing_1,wing
685,wing_10,wing
686,wing_11,wing
687,wing_12,wing
688,wing_13,wing
689,wing_2,wing
690,wing_3,wing
691,wing_4,wing
692,wing_5,wing
693,wing_6,wing
694,wing_7,wing
695,wing_8,wing
696,wing_9,wing
